X,Y,Z,Name,24,EasyPay
24.0350976,49.8418114,0,вул.Підвальна,,"вул.Руська, 18, вул.Галицька, 19, вул.Підвальна, 9/2"
24.0299007,49.8441927,0,вул.Гавришкевича,"пл. Д.Галицького, 10/3 вул. Краківська ,30","вул. Гавришкевича, 2, вул. Лесі Українки, 11 (маг. ""Рукавичка"")"
24.0306216,49.8391168,0,пл.Міцкевича,,"пл.Міцкевича, 5"
24.0291036,49.8443361,0,пл. Князя Ярослава Осмомисла,"пл. Князя Осмомисла, 10 ( у магазині ""МТА"")","вул. Стара, 1"
24.0328861,49.835725,0,вул. Білозіра ,"вул. Кн. Романа, 9 (у магазині ""Близенько"")","вул. Князя Романа, 5"
24.0248378,49.8452178,0,вул.Вагова,"вул. Куліша, 9 (у магазині ""Близенько"")","вул. Куліша, 5, пр. Чорновола, 7(зуп. ""Готель Львів"")"
24.036373,49.8421651,0,вул.Винниченка,,"вул. Винниченка, 22 (біля Порохової вежі)"
24.031134,49.836438,0,вул.Волошина,"пр. Шевченка, 8 (у магазині ""Київстар""), пр. Шевченка, 10 (у закладі ""Пузата хата"")","пр. Шевченка, 18 (маг. ""Рукавичка""), пр. Шевченка, 14"
24.0205019,49.8417444,0,вул.Гребінки,"вул. Лепкого, 11","вул. Городоцька, 25 (маг. ""Напої світу""), вул. Городоцька, 37, 45"
24.0306189,49.8356972,0,вул.Григоровича,"вул. Дудаєва, 18 (у магазині ""Продукти"")","пр. Шевченка, 18 (маг. ""Рукавичка""), пр. Шевченка, 14"
24.0244834,49.8417631,0,вул.Гнатюка,,"вул. Гнатюка, 20"
24.0319578,49.8348979,0,вул.Грушевського,,"вул. Грушевського, 9, 7 (маг. ""Близенько"")"
24.0386817,49.8439301,0,вул. Гуцульська,,"вул. Винниченка, 22 (біля Порохової вежі)"
24.0393407,49.8390414,0,вул. Ігоря Дашка,"вул. Личаківська, 4/6 (у магазині ""Близенько"")вул. Пекарська, 11а (у магазині ""Hud Fud"")","вул. Пекарська, 26, вул. Личаківська, 7"
24.0314465,49.8348849,0,вул.Драгоманова,,"вул. Грушевського, 9, 7 (маг. ""Близенько"")"
24.0228989,49.8440776,0,вул. Д. Данилишина,,"вул. Шпитальна, 9"
24.0289141,49.8360644,0,вул.Дудаєва,"вул. Дудаєва, 18 (у магазині ""Продукти"")","вул. Скорика, 6"
24.0232407,49.8364623,0,вул. Коперника,"вул. Коперника,32 (у банку ""А-Банк""), вул. Коперника, 23а (у магазині ""Продукти"")","вул. Словацького, 4"
24.030252,49.8368749,0,вул.Ковжуна,,"вул. Скорика, 6"
24.0244638,49.8397183,0,вул.Костюшка,"вул. Костюшка, 6 (у магазині ""Свій маркет""), вул. Січ. Стрільців, 12 (у закладі ""Пузата Хата"")","вул. Січових Стрільців, 11, 12 (""Пузата Хата"")"
24.0334192,49.837284,0,вул.Князя Романа,"вул. Князя Романа, 9 (у магазині ""Близенько"")","вул. Князя Романа, 5 (дитяча бібліотека)"
24.0263583,49.8455604,0,вул.Лазнева,,"вул. Стара, 1"
24.0202651,49.8425182,0,вул.Лепкого,"вул. Лепкого, 11","вул. Городоцька 37, 45"
24.0367331,49.8430633,0,вул.Лисенка,,"вул. Винниченка, 22 (біля Порохової вежі)"
24.0308245,49.8379397,0,пл. Маланюка,,"вул. Скорика, 31, 6"
24.0221894,49.8419836,0,вул.Менцинського,,"вул. Городоцька, 25 (маг. ""Напої світу"")"
24.023434,49.8432926,0,вул.Наливайка,"вул. Наливайка, 20 (у магазині ""Близенько"")","вул. Городоцька, 25"
24.033395,49.8346525,0,вул.Саксаганського,"вул. І. Франка, 35 (у магазині ""Близенько"")","вул. Грушевського, 9, вул. Франка, 30 (трамвайна зупинка)"
24.0253216,49.8369839,0,вул.Стефаника,,"вул. Скорика, 31"
